日期              时间       飞机地址           纬度                  经度                      高度 地速 航向    航班号 爬升率 识别代码
2017-10-10 13:2:38 780342 39.12778079509735 117.3503565788269 0.00 5.93 336.58 AMU237 0.0 null
2017-10-10 13:2:38 780342 39.12778079509735 117.3503565788269 0.00 5.93 336.58 AMU237 0.0 null
2017-10-10 13:2:40 780342 39.127952456474304 117.35034048557281 0.00 4.83 333.58 AMU237 0.0 null
2017-10-10 13:2:47 780342 39.127963185310364 117.3501205444336 0.00 7.91 299.62 AMU237 0.0 null
2017-10-10 13:2:49 780342 39.12809193134308 117.34999716281891 0.00 7.91 291.63 AMU237 0.0 null
2017-10-10 13:2:53 780342 39.12808120250702 117.34978795051575 0.00 8.79 291.63 AMU237 0.0 null
2017-10-10 13:2:56 780342 39.12807047367096 117.34968066215515 0.00 9.89 294.63 AMU237 0.0 null
2017-10-10 13:3:5 780342 39.12823677062988 117.34913349151611 0.00 11.87 269.66 AMU237 0.0 null
2017-10-10 13:3:6 780342 39.128199219703674 117.34918177127838 0.00 11.87 260.67 AMU237 0.0 null
2017-10-10 13:3:6 780342 39.128183126449585 117.34920859336853 0.00 11.87 254.68 AMU237 0.0 null
2017-10-10 13:3:7 780342 39.128177762031555 117.34919250011444 0.00 11.87 254.68 AMU237 0.0 null
2017-10-10 13:3:8 780342 39.128177762031555 117.3489511013031 0.00 11.87 249.69 AMU237 0.0 null
2017-10-10 13:3:8 780342 39.128177762031555 117.3489511013031 0.00 11.87 249.69 AMU237 0.0 null
2017-10-10 13:3:8 780342 39.128177762031555 117.34879553318024 0.00 11.87 249.69 AMU237 0.0 null
2017-10-10 13:3:9 780342 39.12801682949066 117.34889209270477 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:9 780342 39.12801146507263 117.34896719455719 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:10 780342 39.12804365158081 117.34899401664734 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:10 780342 39.12812411785126 117.34891355037689 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:11 780342 39.128167033195496 117.34881162643433 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:12 780342 39.128167033195496 117.34872043132782 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:12 780342 39.128150939941406 117.3486989736557 0.00 12.96 240.70 AMU237 0.0 null
2017-10-10 13:3:13 780342 39.12804901599884 117.34861314296722 0.00 13.84 240.70 AMU237 0.0 null
2017-10-10 13:3:13 780342 39.12804901599884 117.34861314296722 0.00 13.84 240.70 AMU237 0.0 null
2017-10-10 13:3:14 780342 39.12801682949066 117.34862923622131 0.00 13.84 240.70 AMU237 0.0 null
2017-10-10 13:3:15 780342 39.12801146507263 117.34857022762299 0.00 13.84 243.69 AMU237 0.0 null
2017-10-10 13:3:17 780342 39.12783980369568 117.34850585460663 0.00 14.94 243.69 AMU237 0.0 null
2017-10-10 13:3:17 780342 39.1278612613678 117.34849512577057 0.00 14.94 243.69 AMU237 0.0 null
2017-10-10 13:3:17 780342 39.127957820892334 117.3483395576477 0.00 15.82 243.69 AMU237 0.0 null
